,target
167,27.32918188
168,35.65969012
169,36.28695241
170,28.24551966
171,25.44371317
172,32.35406801
173,40.56138914
174,29.5351164
175,30.88112944
176,30.72601335
177,38.84794557
178,44.81555882
179,50.72591649
180,54.72833938
181,85.49936105
182,90.57185413
183,69.03371536
184,45.90561387
185,47.23171
186,38.40690969
187,34.58297811
188,38.25730944
189,35.13574451
190,34.33436678
191,37.99107159
192,37.02090733
193,50.12285305
194,55.71504981
195,41.45135534
196,32.97050792
197,43.60701042
198,27.1474791
199,35.86612727
200,39.82154735
201,43.62645437
202,39.74929879
203,36.05709744
204,51.9251828
205,44.68670086
206,38.0977962
207,23.6566298
208,14.78186133
209,13.0621899
210,13.3808869
211,12.96014011
212,13.6178235
213,15.30121219
214,21.32048229
215,16.4215348
216,18.92934294
217,16.36840905
218,11.42954329
219,10.72457437
220,15.29926885
221,19.45603586
222,12.96690016
223,16.6783386
224,18.40711675
225,16.27624441
226,22.51823564
227,16.84918929
228,18.50432366
229,13.78550474
230,12.86183831
231,12.50829117
232,9.54472844
233,17.92076202
234,21.53631502
235,30.43475731
236,16.62892123
237,13.28902253
238,15.50417094
239,17.36992391
240,14.53524228
241,11.86349472
242,18.08692937
243,33.22213117
244,70.05118746
245,61.2983715
246,49.51357586
247,29.0062906
248,33.44238792
249,26.5684466
250,28.67984235
251,31.9342698
252,23.2870511
253,32.55208941
254,36.72283701
255,42.20791707
256,36.87150917
257,33.5733494
258,28.61686761
259,23.28451882
260,28.38829587
261,24.55945452
262,24.50236513
263,33.74506657
264,40.25563655
265,34.61589983
266,33.66716163
267,57.94087369
268,64.73284363
269,40.07123488
270,14.51637548
271,19.10984027
272,13.6894912
273,17.13789568
274,11.38367754
275,40.76697733
276,63.21391781
277,71.25384324
278,48.13518128
279,44.07317608
280,37.15694666
281,27.91758629
282,22.97143563
283,23.09516454
284,27.05690174
285,35.38786928
286,29.08199912
287,18.55210857
288,22.79175463
289,21.9727482
290,30.64047106
291,48.59852734
292,41.31907121
293,32.54354307
294,9.24595074
295,6.1695062
296,6.34957361
297,13.54194143
298,14.13562534
299,25.6293108
300,41.08058267
301,44.34430728
302,35.61511398
303,28.38487888
304,27.01239402
305,26.31968884
306,25.99525112
307,27.21898086
308,27.23126662
309,29.5884824
310,25.3244274
311,25.21848565
312,27.24724492
313,37.91325071
314,28.38728218
315,20.92931793
316,19.76806064
317,15.57149537
318,10.86381106
319,9.73127078
320,9.62798645
321,10.39813296
322,17.62536548
323,26.81950782
324,34.98303214
325,35.13318601
326,35.55433882
327,28.37346451
328,32.63000145
329,38.65873366
330,37.09349688
331,46.36266406
332,54.31370675
333,55.99965811
334,50.23161802
335,36.60211606
336,35.21933429
337,45.12661394
338,42.44709424
339,26.29484507
340,19.55407622
341,17.49510456
342,12.18323467
343,12.48745307
344,13.3362896
345,24.50520409
346,35.36273422
347,37.77792256
348,35.76444425
349,39.43885005
350,40.27178458
351,42.20138282
352,41.32325216
353,43.19994942
354,42.54482655
355,44.51761952
356,47.10765958
357,49.96662945
358,82.65100135
359,79.87982239
360,59.43673639
361,47.22919629
362,31.84513357
363,36.64712842
364,19.01603743
365,16.9701176
366,32.66629004
367,43.36302581
368,46.89913654
369,40.22141221
370,29.73176089
371,26.97258256
372,37.2293909
373,35.06089983
374,28.80399798
375,28.76416279
376,23.07322687
377,21.77176918
378,45.22768207
379,47.20475411
380,87.19167597
381,85.88439446
382,77.99323563
383,31.77327176
384,21.38920095
385,9.7369369
386,8.63505793
387,9.6654523
388,13.87617438
389,13.37607414
390,19.03207613
391,18.14787664
392,15.89270454
393,14.97343955
394,15.7376627
395,17.48231665
396,16.02383063
397,15.11173711
398,18.09842962
399,19.13488979
400,27.53599291
401,24.51547832
402,81.99942698
403,12.91968787
404,11.0574833
405,8.38508173
406,6.8189648
407,9.31643334
408,21.13492324
409,42.30703424
410,34.49938235
411,45.2067894
412,37.81775613
413,24.01240123
414,54.12264478
415,66.52612636
416,57.33189809
417,52.22994439
418,42.43981843
419,42.05253152
420,33.80670089
421,30.20984163
422,35.83979821
423,28.96793536
424,22.50971131
425,18.39756398
426,19.2591296
427,18.69056337
428,19.46304217
429,25.0814297
430,30.81806106
431,31.02625522
432,26.12111482
433,28.10988095
434,28.80638162
435,33.31268363
436,28.45526309
437,34.07208691
438,37.57766644
439,59.83418153
440,40.98636117
441,31.61862838
442,25.79564565
443,28.67265101
444,29.65850715
445,23.38734218
446,18.50903525
447,15.44092245
448,13.96114894
449,13.84079041
450,16.17066508
451,22.71256963
452,35.90063008
453,37.44887369
454,36.81155753
455,41.59589787
456,39.86834112
457,36.39068868
458,38.96466145
459,35.34017733
460,34.95444546
461,47.01400953
462,30.41760897
463,49.60945051
464,39.60061573
465,49.67281046
466,47.65584765
467,33.97170735
468,65.11140895
469,50.215481
470,33.4506165
471,36.38137395
472,34.9296327
473,32.23962058
474,38.91626556
475,56.46132481
476,56.42610702
477,44.8771224
478,32.42962452
479,32.32700812
480,34.90662555
481,56.96394726
482,59.05710991
483,65.08377251
484,65.29515977
485,60.89597135
486,66.88759584
487,73.91543719
488,56.71107154
489,40.03949747
490,34.57225604
491,23.48450511
492,25.74814222
493,29.49785127
494,32.00887207
495,43.58705594
496,45.37937154
497,48.96939071
498,33.08412987
499,37.72673874
500,39.34975792
501,34.62810286
502,44.79168363
503,31.7083666
504,29.99315774
505,27.80536804
506,32.99738452
507,51.73571211
508,65.73497893
509,90.80708951
510,100.81143927
511,90.97128849
512,69.45925983
513,63.31922117
514,51.04388262
515,45.08082195
516,33.68229064
517,41.83873138
518,51.58312491
519,47.35515101
520,36.45546072
521,38.05143368
522,26.62171765
523,27.41939882
524,24.21600022
525,19.50716213
526,18.48564669
527,16.98774855
528,18.45261396
529,21.0119136
530,24.3804377
531,35.3806534
532,16.16843384
533,13.81496791
534,12.01044284
535,9.98113297
536,10.91075162
537,10.99640173
538,15.6203686
539,31.2240076
540,47.75257217
541,70.08193729
542,39.52935131
543,27.86756867
544,21.97984932
545,22.58776534
546,13.79063088
547,17.08710965
548,21.09591445
549,16.71863988
550,21.06794786
551,19.97206594
552,27.76432245
553,35.61047888
554,45.21452033
555,60.06407273
556,41.75881958
557,21.20894786
558,13.71706171
559,11.15450341
560,13.68158184
561,16.78012747
562,18.24933567
563,27.57206688
564,44.34491443
565,47.4635403
566,42.75755681
567,33.87129569
568,31.1283976
569,26.31924431
570,29.50946338
571,31.70057577
572,45.56553279
573,44.38604642
574,41.44196005
575,64.03993449
576,114.15746532
577,136.38831798
578,82.13045629
579,53.3312579
580,73.93714413
581,77.09064458
582,65.97327289
583,55.35764532
584,39.64261082
585,34.65801297
586,42.22892708
587,47.61698776
588,55.37140861
589,42.07392411
590,44.91174417
591,39.03883016
592,35.022549
593,41.95252867
594,26.61869851
595,24.19525029
596,31.87912061
597,27.26365234
598,39.61619642
599,103.06039837
600,126.71149394
601,67.86707966
602,28.13628743
603,28.3678485
604,20.11300465
605,22.02314446
606,17.86360749
607,16.55686732
608,16.36562148
609,25.32195336
610,37.75892564
611,40.29886568
612,34.81528432
613,30.34152246
614,32.77165849
615,35.40632476
616,38.30621832
617,45.91495117
618,43.99354296
619,52.41258292
620,61.13734616
621,62.531244
622,78.93097848
623,77.87524789
624,74.62764502
625,82.93327994
626,73.05589032
627,32.68035202
628,23.38300168
629,15.61469563
630,13.70758796
631,14.76196217
632,21.1452287
633,32.55046703
634,39.74792228
635,43.53956239
636,40.02871707
637,38.97726061
638,47.38393952
639,41.74690558
640,52.91371114
641,34.67933454
642,40.04538679
643,45.09913015
644,41.41417842
645,40.48001054
